SerialICE: Open connection to target hardware...
SerialICE: Waiting for handshake with target... target alive!
0074.007a    R.Q.    [f000:17e0]   MEM:  readw 000f1e13 => 0000
0074.007b    R.Q.    [f000:17e0]   MEM:  readw 000f1e15 => 1e1a
007c.007d    RH..    [f000:24a4]   IO: outl 0cf8 <= 8000004c
007c.007e    RH..    [f000:2432]   IO:  inb 0cff => 01
007f.0080    RH..    [f000:24ad]   IO: outl 0cf8 <= 8000004c
007f.0081    RH..    [f000:247c]   IO: outb 0cff <= 01
007f.0082    R.Q.    [f000:17f9]   MEM:  readw 000f17fb => 1e5c
007f.0083    R.Q.    [f000:17e9]   MEM:  readw 000f17f7 => ffac
0084.0085    RH..    [f000:2416]   IO: outl 0cf8 <= 80000250
0084.0086    RH..    [f000:2434]   IO:  inb 0cfc => 80
0087.0088    RH..    [f000:2460]   IO: outl 0cf8 <= 80000250
0087.0089    RH..    [f000:247e]   IO: outb 0cfc <= 08
008a.008b    RH..    [f000:24a4]   IO: outl 0cf8 <= 80000250
008a.008c    RH..    [f000:2432]   IO:  inb 0cfd => 00
008d.008e    RH..    [f000:24ad]   IO: outl 0cf8 <= 80000250
008d.008f    RH..    [f000:247c]   IO: outb 0cfd <= 28
0090.0091    RH..    [f000:2416]   IO: outl 0cf8 <= 80000250
0090.0092    RH..    [f000:2434]   IO:  inb 0cfe => 20
0093.0094    RH..    [f000:2460]   IO: outl 0cf8 <= 80000250
0093.0095    RH..    [f000:247e]   IO: outb 0cfe <= ef
0096.0097    RH..    [f000:24a4]   IO: outl 0cf8 <= 80000250
0096.0098    RH..    [f000:2432]   IO:  inb 0cff => 00
0099.009a    RH..    [f000:24ad]   IO: outl 0cf8 <= 80000250
0099.009b    RH..    [f000:247c]   IO: outb 0cff <= 58
009c.009d    RH..    [f000:2416]   IO: outl 0cf8 <= 8000025c
009c.009e    RH..    [f000:2434]   IO:  inb 0cfd => 00
009f.00a0    RH..    [f000:2460]   IO: outl 0cf8 <= 8000025c
009f.00a1    RH..    [f000:247e]   IO: outb 0cfd <= b2
00a2.00a3    RH..    [f000:24a4]   IO: outl 0cf8 <= 8000025c
00a2.00a4    RH..    [f000:2432]   IO:  inb 0cfe => 00
00a5.00a6    RH..    [f000:24ad]   IO: outl 0cf8 <= 8000025c
00a5.00a7    RH..    [f000:247c]   IO: outb 0cfe <= 88
00a8.00a9    RH..    [f000:2416]   IO: outl 0cf8 <= 8000025c
00a8.00aa    RH..    [f000:2434]   IO:  inb 0cff => 00
00ab.00ac    RH..    [f000:2460]   IO: outl 0cf8 <= 8000025c
00ab.00ad    RH..    [f000:247e]   IO: outb 0cff <= 06
00ab.00ae    R.Q.    [f000:17f9]   MEM:  readw 000f1e33 => 0010
00ab.00af    R.Q.    [f000:17f9]   MEM:  readw 000f1e35 => 1e3a
00b0.00b1    RH..    [f000:24a4]   IO: outl 0cf8 <= 800010a0
00b0.00b2    RH..    [f000:2432]   IO:  inb 0cff => fc
00b3.00b4    RH..    [f000:24ad]   IO: outl 0cf8 <= 800010a0
00b3.00b5    RH..    [f000:247c]   IO: outb 0cff <= fc
00b6.00b7    RH..    [f000:2416]   IO: outl 0cf8 <= 80000384
00b6.00b8    RH..    [f000:2434]   IO:  inb 0cfe => 01
00b9.00ba    RH..    [f000:2460]   IO: outl 0cf8 <= 80000384
00b9.00bb    RH..    [f000:247e]   IO: outb 0cfe <= 29
00b9.00bc    R.Q.    [f000:17f9]   MEM:  readw 000f1e41 => 0007
00b9.00bd    R.Q.    [f000:17f9]   MEM:  readw 000f1e43 => 1e48
00be.00bf    RH..    [f000:24a4]   IO: outl 0cf8 <= 800007e4
00be.00c0    RH..    [f000:2432]   IO:  inb 0cfe => 00
00c1.00c2    RH..    [f000:24ad]   IO: outl 0cf8 <= 800007e4
00c1.00c3    RH..    [f000:247c]   IO: outb 0cfe <= 29
00c4.00c5    RH..    [f000:2416]   IO: outl 0cf8 <= 80008fe4
00c4.00c6    RH..    [f000:2434]   IO:  inb 0cfe => 01
00c7.00c8    RH..    [f000:2460]   IO: outl 0cf8 <= 80008fe4
00c7.00c9    RH..    [f000:247e]   IO: outb 0cfe <= 29
00c7.00ca    R.Q.    [f000:17f9]   MEM:  readw 000f1e4f => 0005
00c7.00cb    R.Q.    [f000:17f9]   MEM:  readw 000f1e51 => 1e5c
00cc.00cd    RH..    [f000:24a4]   IO: outl 0cf8 <= 80000540
00cc.00ce    RH..    [f000:2432]   IO:  inb 0cfc => 4c
00cf.00d0    RH..    [f000:24ad]   IO: outl 0cf8 <= 80000540
00cf.00d1    RH..    [f000:247c]   IO: outb 0cfc <= cc
00d2.00d3    RH..    [f000:2416]   IO: outl 0cf8 <= 80000540
00d2.00d4    RH..    [f000:2434]   IO:  inb 0cfe => 03
00d5.00d6    RH..    [f000:2460]   IO: outl 0cf8 <= 80000540
00d5.00d7    RH..    [f000:247e]   IO: outb 0cfe <= 05
00d8.00d9    RH..    [f000:24a4]   IO: outl 0cf8 <= 80000560
00d8.00da    RH..    [f000:2432]   IO:  inb 0cfc => 20
00db.00dc    RH..    [f000:24ad]   IO: outl 0cf8 <= 80000560
00db.00dd    RH..    [f000:247c]   IO: outb 0cfc <= 2b
00db.00de    R.Q.    [f000:17ff]   MEM:  readl 000f1801 => 00000001
00db.00df    R.Q.    [f000:17ff]   MEM:  readw 000f180d => 1e5c
00e0.00e1    RH.U    [f000:1805]   CPUID: eax: 00000001; ecx: 00001e5c => 000006d0.00000800.00004181.a7c9bbff
00e0.00e2    R.Q.    [f000:1846]   MEM:  readw 000f184f => 1854
00e0.00e3    R.Q.    [f000:1846]   MEM:  readw 000f1e61 => 0004
00e5.00e6    RH..    [f000:2416]   IO: outl 0cf8 <= 800004f4
00e5.00e7    RH..    [f000:2434]   IO:  inb 0cfe => 08
00e5.00e8    R.Q.    [f000:1864]   MEM:  readw 000f186d => 1872
00e5.00e9    R.Q.    [f000:1864]   MEM:  readw 000f1e67 => 0002
00ea.00eb    RH..    [f000:2416]   IO: outl 0cf8 <= 80000250
00ea.00ec    RH..    [f000:2432]   IO:  inb 0cfd => 28
00ea.00ed    R.Q.    [f000:1872]   MEM:  readw 000f187b => 1880
00ee.00ef    RH..    [f000:2460]   IO: outl 0cf8 <= 80000250
00ee.00f0    RH..    [f000:247e]   IO: outb 0cfd <= 38
00ee.00f1    R.Q.    [f000:1880]   MEM:  readw 000f1885 => 1ebc
00ee.00f2    R.Q.    [f000:78d4]   MEM:  readb 000f78d4 => 0f
00ee.00f3    R.Q.    [f000:78d4]   MEM:  readw 000f78db => 5108
00ee.00f4    R.Q.    [f000:78d4]   MEM:  readw 000f78e1 => 04b4
00f5.00f6    RH..    [f000:2416]   IO: outl 0cf8 <= 80008850
00f5.00f7    RH..    [f000:2434]   IO:  inb 0cfd => 1d
00f8.00f9    RH..    [f000:2460]   IO: outl 0cf8 <= 80008850
00f8.00fa    RH..    [f000:247c]   IO: outb 0cfd <= 1d
00f8.00fb    R.Q.    [f000:78e3]   MEM:  readw 000f78e9 => 78ee
00fc.00fd    RH.U    [f000:78e3]   IO: outb 00e0 <= 1d
00ff.0100    RH..    [f000:24c5]   IO: outl 0cf8 <= 8000884c
00ff.0101    RH..    [f000:2432]   IO:  inb 0cfe => 00
0102.0103    RH..    [f000:24ad]   IO: outl 0cf8 <= 8000884c
0102.0104    RH..    [f000:247e]   IO: outb 0cfe <= 0a
0102.0105    R.Q.    [f000:78ee]   MEM:  readw 000f78f1 => 8104
0102.0106    R.Q.    [f000:78ee]   MEM:  readw 000f78f7 => 049e
0107.0108    RH.U    [f000:78ee]   IO: outb 00e8 <= 0a
010a.010b    RH..    [f000:2416]   IO: outl 0cf8 <= 80008880
010a.010c    RH..    [f000:2434]   IO:  inb 0cfd => 04
010d.010e    RH..    [f000:2460]   IO: outl 0cf8 <= 80008880
010d.010f    RH..    [f000:247c]   IO: outb 0cfd <= 04
010d.0110    R.Q.    [f000:78f9]   MEM:  readw 000f7903 => 8240
010d.0111    R.Q.    [f000:78f9]   MEM:  readw 000f7909 => 03b1
010d.0112    R..D    [f000:78f9]   IO: outb 00ea <= 04
010d.0113    R..D    [f000:78f9]   IO: outb 00ee <= 04
010d.0114    R..D    [f000:78f9]   IO: outb 00eb <= 04
010d.0115    R.Q.    [f000:7cbc]   MEM:  readw 000f7cbd => 0088
010d.0116    R.Q.    [f000:7cda]   MEM:  readw 000f7cdb => a739
0117.0118    RH..    [f000:2416]   IO: outl 0cf8 <= 80008880
0117.0119    RH..    [f000:2432]   IO:  inb 0cfe => 50
0117.011a    R.Q.    [f000:790d]   MEM:  readw 000f7911 => 7916
011b.011c    RH..    [f000:040e]   IO: outb 0070 <= 8e
011b.011d    RH..    [f000:0414]   IO:  inb 0071 => 00
011b.011e    R.Q.    [f000:7918]   MEM:  readw 000f791d => 7922
011b.011f    RH..    [f000:0417]   IO: outb 0070 <= 8e
011b.0120    RH..    [f000:041f]   IO: outb 0071 <= 00
011b.0121    R.Q.    [f000:7924]   MEM:  readw 000f7925 => 8b8b
011b.0122    R.Q.    [f000:7924]   MEM:  readw 000f7929 => 792e
011b.0123    RH..    [f000:040e]   IO: outb 0070 <= 8b
011b.0124    RH..    [f000:0412]   IO:  inb 0071 => 02
011b.0125    R.Q.    [f000:7930]   MEM:  readw 000f7935 => 793a
011b.0126    RH..    [f000:0417]   IO: outb 0070 <= 8b
011b.0127    RH..    [f000:041d]   IO: outb 0071 <= 02
011b.0128    R.Q.    [f000:793c]   MEM:  readw 000f793d => 8800
011b.0129    R.Q.    [f000:793c]   MEM:  readw 000f7943 => 03c0
012b.012c    RH..    [f000:2460]   IO: outl 0cf8 <= 80008888
012b.012d    RH..    [f000:247e]   IO: outb 0cfc <= 00
012b.012e    R.Q.    [f000:7945]   MEM:  readw 000f7949 => 794e
012f.0130    RH..    [f000:2460]   IO: outl 0cf8 <= 80008888
012f.0131    RH..    [f000:247c]   IO: outb 0cfd <= 08
012f.0132    R.Q.    [f000:794e]   MEM:  readw 000f794f => 8180
012f.0133    R.Q.    [f000:794e]   MEM:  readw 000f7955 => 0440
0134.0135    RH..    [f000:24c5]   IO: outl 0cf8 <= 80008880
0134.0136    RH..    [f000:2434]   IO:  inb 0cfd => 04
0137.0138    RH..    [f000:24ad]   IO: outl 0cf8 <= 80008880
0137.0139    RH..    [f000:247e]   IO: outb 0cfd <= 84
013a.013b    RH..    [f000:7957]   IO:  inb 0805 => 00
013a.013c    R.Q.    [f000:797d]   MEM:  readw 000f7981 => 7986
013d.013e    RH..    [f000:040e]   IO: outb 0070 <= 8e
013d.013f    RH..    [f000:0414]   IO:  inb 0071 => 00
013d.0140    R.Q.    [f000:798c]   MEM:  readw 000f798d => 7992
013d.0141    R.Q.    [f000:01a3]   MEM:  readw 000f01a7 => 2271
013d.0142    R.Q.    [f000:01ab]   MEM:  readw 000f01b1 => 01b5
013d.0143    R.Q.    [f000:0159]   MEM:  readw 000f015f => 0fff
013d.0144    RH..    [f000:0168]   IO: outb 0070 <= 60
013d.0145    RH..    [f000:0172]   IO:  inb 0071 => d5
013d.0146    R.Q.    [f000:01be]   MEM:  readw 000f2271 => 002e
013d.0147    R.Q.    [f000:01d6]   MEM:  readw 000f01d9 => 226c
013d.0148    R.Q.    [f000:01f0]   MEM:  readw 000f01f1 => 01f6
013d.0149    RH..    [f000:040e]   IO: outb 0070 <= 10
013d.014a    RH..    [f000:0412]   IO:  inb 0071 => 40
013d.014b    R.Q.    [f000:0206]   MEM:  readw 000f0207 => 020b
013d.014c    R.Q.    [f000:0282]   MEM:  readw 000f020b => 020d
013d.014d    RH..    [f000:0211]   IO: outb 0070 <= 11
013d.014e    RH..    [f000:0414]   IO:  inb 0071 => 30
013d.014f    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.0150    RH..    [f000:040e]   IO: outb 0070 <= 12
013d.0151    RH..    [f000:0412]   IO:  inb 0071 => 00
013d.0152    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.0153    RH..    [f000:020d]   IO: outb 0070 <= 13
013d.0154    RH..    [f000:0414]   IO:  inb 0071 => 30
013d.0155    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.0156    RH..    [f000:040e]   IO: outb 0070 <= 14
013d.0157    RH..    [f000:0412]   IO:  inb 0071 => 0e
013d.0158    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.0159    RH..    [f000:020d]   IO: outb 0070 <= 15
013d.015a    RH..    [f000:0414]   IO:  inb 0071 => 80
013d.015b    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.015c    RH..    [f000:040e]   IO: outb 0070 <= 16
013d.015d    RH..    [f000:0412]   IO:  inb 0071 => 02
013d.015e    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.015f    RH..    [f000:020d]   IO: outb 0070 <= 17
013d.0160    RH..    [f000:0414]   IO:  inb 0071 => ff
013d.0161    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.0162    RH..    [f000:040e]   IO: outb 0070 <= 18
013d.0163    RH..    [f000:0412]   IO:  inb 0071 => ff
013d.0164    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.0165    RH..    [f000:020d]   IO: outb 0070 <= 19
013d.0166    RH..    [f000:0414]   IO:  inb 0071 => 00
013d.0167    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.0168    RH..    [f000:040e]   IO: outb 0070 <= 1a
013d.0169    RH..    [f000:0412]   IO:  inb 0071 => 00
013d.016a    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.016b    RH..    [f000:020d]   IO: outb 0070 <= 1b
013d.016c    RH..    [f000:0414]   IO:  inb 0071 => 00
013d.016d    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.016e    RH..    [f000:040e]   IO: outb 0070 <= 1c
013d.016f    RH..    [f000:0412]   IO:  inb 0071 => 00
013d.0170    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.0171    RH..    [f000:020d]   IO: outb 0070 <= 1d
013d.0172    RH..    [f000:0414]   IO:  inb 0071 => 00
013d.0173    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.0174    RH..    [f000:040e]   IO: outb 0070 <= 1e
013d.0175    RH..    [f000:0412]   IO:  inb 0071 => 00
013d.0176    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.0177    RH..    [f000:020d]   IO: outb 0070 <= 1f
013d.0178    RH..    [f000:0414]   IO:  inb 0071 => 00
013d.0179    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.017a    RH..    [f000:040e]   IO: outb 0070 <= 20
013d.017b    RH..    [f000:0412]   IO:  inb 0071 => 00
013d.017c    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.017d    RH..    [f000:020d]   IO: outb 0070 <= 21
013d.017e    RH..    [f000:0414]   IO:  inb 0071 => 00
013d.017f    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.0180    RH..    [f000:040e]   IO: outb 0070 <= 22
013d.0181    RH..    [f000:0412]   IO:  inb 0071 => 00
013d.0182    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.0183    RH..    [f000:020d]   IO: outb 0070 <= 23
013d.0184    RH..    [f000:0414]   IO:  inb 0071 => 00
013d.0185    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.0186    RH..    [f000:040e]   IO: outb 0070 <= 24
013d.0187    RH..    [f000:0412]   IO:  inb 0071 => 00
013d.0188    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.0189    RH..    [f000:020d]   IO: outb 0070 <= 25
013d.018a    RH..    [f000:0414]   IO:  inb 0071 => 00
013d.018b    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.018c    RH..    [f000:040e]   IO: outb 0070 <= 26
013d.018d    RH..    [f000:0412]   IO:  inb 0071 => 00
013d.018e    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.018f    RH..    [f000:020d]   IO: outb 0070 <= 27
013d.0190    RH..    [f000:0414]   IO:  inb 0071 => 00
013d.0191    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.0192    RH..    [f000:040e]   IO: outb 0070 <= 28
013d.0193    RH..    [f000:0412]   IO:  inb 0071 => 00
013d.0194    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.0195    RH..    [f000:020d]   IO: outb 0070 <= 29
013d.0196    RH..    [f000:0414]   IO:  inb 0071 => 30
013d.0197    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.0198    RH..    [f000:040e]   IO: outb 0070 <= 2a
013d.0199    RH..    [f000:0412]   IO:  inb 0071 => 47
013d.019a    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.019b    RH..    [f000:020d]   IO: outb 0070 <= 2b
013d.019c    RH..    [f000:0414]   IO:  inb 0071 => 47
013d.019d    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.019e    RH..    [f000:040e]   IO: outb 0070 <= 2c
013d.019f    RH..    [f000:0412]   IO:  inb 0071 => 47
013d.01a0    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.01a1    RH..    [f000:020d]   IO: outb 0070 <= 2d
013d.01a2    RH..    [f000:0414]   IO:  inb 0071 => 47
013d.01a3    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.01a4    R.Q.    [f000:021e]   MEM:  readw 000f021f => 2f2e
013d.01a5    R.Q.    [f000:0267]   MEM:  readw 000f0269 => 026e
013d.01a6    RH..    [f000:040e]   IO: outb 0070 <= 2e
013d.01a7    RH..    [f000:0412]   IO:  inb 0071 => 04
013d.01a8    R.Q.    [f000:0270]   MEM:  readw 000f0273 => 0278
013d.01a9    RH..    [f000:040e]   IO: outb 0070 <= 2f
013d.01aa    RH..    [f000:0414]   IO:  inb 0071 => 7a
013d.01ab    R.Q.    [f000:01c8]   MEM:  readw 000f2273 => 002f
013d.01ac    R.Q.    [f000:01c8]   MEM:  readw 000f2275 => 0033
013d.01ad    R.Q.    [f000:01c8]   MEM:  readw 000f2277 => 0034
013d.01ae    R.Q.    [f000:01d0]   MEM:  readw 000f2279 => 0035
013d.01af    R.Q.    [f000:01d0]   MEM:  readw 000f227b => 0036
013d.01b0    R.Q.    [f000:01d0]   MEM:  readw 000f227d => 0038
013d.01b1    RH..    [f000:040e]   IO: outb 0070 <= 37
013d.01b2    RH..    [f000:0412]   IO:  inb 0071 => 00
013d.01b3    R.Q.    [f000:01f8]   MEM:  readw 000f020b => 020d
013d.01b4    R.Q.    [f000:01c8]   MEM:  readw 000f227f => 0039
013d.01b5    R.Q.    [f000:01c8]   MEM:  readw 000f2281 => 003e
